NewSiteID,OldSiteID,delta_nbr,relative_regrowth,pct_recovery,postfire_fitted_slope,cluster,x_y,x,y,fire,canopy_cover,veg_height,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,predisturbance_nbr,postdisturbance_nbr,disturbance_nbr,absolute_regrowth,max.postfire.nbr,time_to_0.8recovery,time_to_0.6recovery,hli
EG-11-1,EG_35_1,-317.7145217,0.379145373,0.519804413,38.96382451,1,-119.407909316_43.776758036,-119.4079093,43.77675804,egley,45,110,279.0603333,287.8787842,317.315033,299.2985229,333.5974731,267.0856323,308.8880005,245.5322418,315.0463867,343.75,-428.6778259,-447.5388489,-236.8596191,-27.43682289,-106.4743805,-76.45814514,-55.08712769,-15.50606155,-0.549752593,77.88006592,133.6981964,127.1008377,117.0298615,155.8088989,299.7452408,-17.96928095,-438.1083374,58.93711816,155.8088989,NA,NA,171
EG-12-1,EG_41_1,-252.3567719,0.677735426,0.97602784,39.32455516,1,-119.373221316_43.686130036,-119.3732213,43.68613004,egley,45,110,389.4899597,422.0805054,390.1243896,359.1202087,342.3999939,396.9030151,390.6061707,373.6263733,426.0223083,406.5259094,-426.6498413,-355.1579895,103.518959,234.0725098,91.88105774,-50.73860168,62.21821594,63.01531219,82.40141296,198.8178406,299.4319763,288.7124329,380.2236633,380.348175,389.6898834,137.3331116,-390.9039154,91.88655022,380.348175,12,3,187
EG-1-2,EG_2_2,-321.007675,-1.371178615,0.500927768,16.46817947,2,-119.401947316_43.842284036,-119.4019473,43.84228404,egley,35,110,285.3285217,269.0526428,261.4896851,292.6434937,278.6499329,290.1678772,264.9371033,290.7686157,310.5345764,367.5721436,-153.0328369,-204.2918396,86.8223877,-29.0585041,-95.0717926,-86.74787903,-38.06933975,-90.12016296,-65.71161652,-36.92762375,21.44927597,34.50309753,130.9595642,145.8273163,291.1144592,-29.89321575,-178.6623383,-126.2739014,145.8273163,NA,NA,142
EG-2-2,EG_6_2,-422.35931,-0.158138198,-0.089237742,14.91317695,2,-119.404657316_43.786538036,-119.4046573,43.78653804,egley,45,110,228.7145233,291.7795715,316.0751648,319.8312378,319.5706177,281.1328735,307.787384,325.0747681,286.8150635,365.5773315,-411.2778015,-425.5748291,-164.9408264,-27.1493206,-188.6356201,-106.2600327,-130.7375793,-132.8883514,-152.222229,-107.3005981,-73.01271057,-98.08729553,-75.35739899,-54.45315933,304.2358536,-118.1234564,-418.4263153,-24.0004906,-27.1493206,NA,NA,170
EG-3-2,EG_10_2,-328.752692,0.001479325,-0.063823611,15.18752055,2,-119.398424316_43.753286036,-119.3984243,43.75328604,egley,45,110,278.1408997,188.0108948,225.8549347,257.1641235,289.7553406,242.7767334,216,221.2927704,215.7159119,264.4212036,-410.994751,-388.7218018,-84.31002045,-15.31213188,-197.814209,-114.3327866,-121.3527832,-93.89671326,-99.93869019,-92.5133667,-27.52793694,-41.39546967,-49.52638626,-35.61643982,239.9132813,-88.83941078,-399.8582764,0.169989271,-15.31213188,NA,NA,185
EG-4-2,EG_11_2,-430.6144051,-1.236255605,-0.202064902,8.296914279,2,-119.376202316_43.697214036,-119.3762023,43.69721404,egley,45,110,275.9714661,285.103363,244.5269012,245.4376221,298.5484619,346.7255859,309.0909119,366.8616028,353.0824585,376.6653137,-208.4355011,-238.4286194,-78.01899719,-134.1267242,-167.4778137,-144.7404633,-122.8765564,-147.1226959,-123.3160629,-106.508873,-101.3365707,-78.60560608,-86.215065,-62.68080902,310.2013687,-120.4130363,-223.4320602,-165.0564952,-62.68080902,NA,NA,182
EG-5-2,EG_12_2,-562.6596773,-0.65422393,0.053995319,25.09568516,2,-119.433654316_43.826310036,-119.4336543,43.82631004,egley,55,110,485.8585815,442.7518311,488.2831116,450.5283508,392.441864,401.8264771,477.7720947,422.64151,425.7064819,476.8145142,-369.6078491,-390.4347839,-153.8122559,-141.9302521,-193.0344543,-132.1159973,-162.0773773,-145.0068359,-145.0586243,-74.47134399,-34.52381134,20.0589962,11.06128597,24.106884,446.4624817,-116.1971956,-380.0213165,-121.4663656,24.106884,NA,NA,166
EG-6-2,EG_16_2,-433.7824916,-0.262113753,0.22434713,28.59724687,2,-119.419833316_43.727858036,-119.4198333,43.72785804,egley,35,110,325.9317932,406.9137878,344.0128174,321.3114624,317.0533142,311.2000122,327.1255188,327.2583313,406.9081726,363.9721069,-360.5321655,-381.8580933,-271.9821167,-19.30501938,-158.4158478,-136.6950226,-124.0521698,-67.96116638,-64.79956055,-64.07263184,0.522193193,20.62374306,49.59750748,77.43761444,345.1687317,-88.61375988,-371.1951294,-43.62718242,77.43761444,NA,NA,182
EG-7-2,EG_20_2,-484.6790718,-0.606663271,-0.041142463,6.843249059,2,-119.470239316_43.780670036,-119.4702393,43.78067004,egley,45,110,371.8570862,368.8928833,360.7809753,338.7650146,360.431366,344.444458,345.0946655,335.3765259,365.0931091,375.1080322,-304.0860291,-287.6395874,-202.6726074,-14.67076111,-144.8872375,-130.290451,-108.3574982,-168.6523743,-153.8073578,-129.3243561,-143.3892059,-84.8947525,-116.1825714,-98.81613922,356.5844116,-128.0946602,-295.8628082,-89.42725649,-14.67076111,NA,NA,171
EG-8-2,EG_21_2,-377.2333801,-0.146849233,-0.359656225,14.8777706,2,-119.404928316_43.773824036,-119.4049283,43.77382404,egley,35,110,275.4934082,277.0791016,262.5570679,211.3851929,212.6044006,236.5145264,242.1934509,194.8249664,259.0529175,250.5125122,-413.1075134,-426.3565979,-158.4664612,-99.43582153,-191.0848846,-167.4968872,-167.4047852,-124.0834732,-133.0153656,-123.8960419,-98.11597443,-87.11656189,-101.1235962,-97.81242371,242.2217545,-135.0116257,-419.7320557,-19.66663508,-87.11656189,NA,NA,175
EG-9-2,EG_25_2,-280.0921455,-0.628375379,-0.712559061,7.454763056,2,-119.303574316_43.848804036,-119.3035743,43.84880404,egley,25,110,94.0689621,137.8763885,117.8529739,100.7615738,85.91674042,104.2765121,142.4167633,124.3042679,101.7001572,193.1748962,-276.0472717,-268.3686218,-197.3725433,-143.7598724,-112.1468124,-159.0451508,-185.3886261,-200.2945557,-200,-140.8317566,-127.7947769,-131.9381256,-85.67448425,-139.0156097,120.2349236,-159.857222,-272.2079468,-59.10541509,-85.67448425,NA,NA,187
EG-10-2,EG_31_2,-368.6852566,-0.030191805,-0.174363899,12.70688843,2,-119.390565316_43.762740036,-119.3905653,43.76274004,egley,35,110,265.6195374,222.7042694,267.8379211,282.4578857,213.5568542,223.4616699,303.947876,250.1973114,261.3084106,234.3522491,-372.0106201,-377.1746826,-185.8284149,-44.03462601,-164.369751,-99.1217041,-152.6894226,-129.5641937,-134.5733032,-102.7896423,-72.77883148,-75.65869141,-77.43626404,-108.5686493,252.5443985,-116.1408581,-374.5926514,-4.199565576,-44.03462601,NA,NA,183
EG-11-2,EG_34_2,-169.6321426,-1.151771464,-0.122351713,1.90304054,2,-119.594628316_43.837720036,-119.5946283,43.83772004,egley,35,110,121.8993607,141.545517,186.0139923,108.2220688,86.25525665,111.1878433,118.4353485,131.8642883,163.9403839,140.147522,-53.06427383,-91.98194885,-55.43859482,-23.98948479,-46.4297142,-48.20766449,-50.07407379,-50.63291168,-16.02209854,-40.96385574,-35.40304947,-19.64839745,-47.67123413,-57.22650909,130.9511581,-38.6809845,-72.52311134,-60.78541048,-16.02209854,NA,NA,185
EG-12-2,EG_38_2,-571.5727291,-0.341358288,0.027009811,24.17395205,2,-119.412787316_43.762414036,-119.4127873,43.76241404,egley,45,111,422.64151,533.3673096,447.7958374,409.8508911,454.2055969,423.3814697,445.9272766,409.5500488,437.2487793,503.7383118,-436.1651611,-459.7302551,-273.3891602,12.12121201,-195.3071136,-167.603302,-149.7342987,-128.2995758,-110.2792969,-102.8913803,-69.44797516,-43.1893692,-21.28750992,9.259259224,448.7707031,-122.802026,-447.9477081,-66.90329358,12.12121201,NA,NA,172
EG-13-2,EG_39_2,-509.421936,-0.655689155,-0.143927814,9.27352813,2,-119.411432316_43.781322036,-119.4114323,43.78132204,egley,45,110,279.3522339,334.7621155,411.5209351,385.7264099,398.6566467,328.1185608,366.3366394,409.2363892,387.8260803,450.2498779,-340.867981,-373.3170166,-140.8083496,-53.99863434,-192.8821106,-89.00523376,-169.5402374,-161.6133575,-157.1034851,-138.1733093,-120.5242233,-118.7845306,-119.9815445,-88.0474472,375.1785889,-134.2433472,-357.0924988,-106.8314682,-53.99863434,NA,NA,181
EG-1-3,EG_1_3,2.687348175,2.9903381,1.433422999,51.59472233,3,-119.550997316_43.869342036,-119.5509973,43.86934204,egley,45,111,366.2842102,379.8858032,380.6981506,366.0974731,326.0297852,325.0825195,354.7840881,334.4103394,373.3170166,346.3220825,-426.3565979,-363.6363525,-82.31707001,191.1273193,351.4573975,355.256073,407.2678223,415.0360413,466.3198853,509.2825012,496.9127502,469.4422302,408.620697,472.8336487,355.2911469,357.978495,-394.9964752,447.015691,509.2825012,4,4,196
EG-2-3,EG_12_3,-89.47454829,1.673304231,1.129476104,31.77769608,3,-119.299780316_43.858258036,-119.2997803,43.85825804,egley,25,110,92.09407806,89.07363129,66.12763214,72.66230011,56.63615417,107.0682983,80.76009369,83.54866791,141.3449554,150.2838287,-384.4373779,-404.7302551,-231.020401,-184.2546082,25.13892555,50.67657089,59.15975952,2.895498753,48.95861435,90.21211243,76.96215057,106.1255341,67.92058563,79.09900665,93.95996399,4.485415697,-394.5838165,188.9665671,106.1255341,9,6,193
EG-3-3,EG_13_3,-86.6718504,1.681293198,1.389078569,37.01752811,3,-119.376744316_43.832178036,-119.3767443,43.83217804,egley,35,110,172.8957825,144.1860504,193.5073242,201.5604706,177.8578491,191.3240509,164.1041718,207.1713104,194.322403,229.5355835,-412.7423706,-355.3929443,-35.50296021,-13.50438881,53.9861908,32.6283989,109.7417831,65.31464386,135.1509857,187.385025,260.6557312,213.8910828,206.3492126,255.1764374,187.6464996,100.9746492,-384.0676575,177.1412131,260.6557312,9,8,193
EG-4-3,EG_14_3,-220.3516731,1.593609656,0.687071202,33.82630044,3,-119.368072316_43.824028036,-119.3680723,43.82402804,egley,45,110,364.3521729,409.9472351,433.9333496,428.2434082,425.3393555,383.4355774,418.3206177,399.0790405,438.1846619,490.4354858,-416.2011108,-371.8887329,-89.71704865,90.04417419,253.8386078,266.6060181,258.6597595,182.4302673,206.3184967,281.3153992,287.9701538,250.2883453,233.8684235,264.4463501,419.1270905,198.7754173,-394.0449219,270.4302425,287.9701538,NA,4,119
EG-5-3,EG_23_3,-161.3740863,1.165937086,1.087483687,48.95681751,3,-119.579452316_43.858584036,-119.5794523,43.85858404,egley,45,111,374.0671692,290.8560181,323.3223877,292.1960144,225.598526,281.0690308,275.5418091,295.2045898,314.2857056,334.2683411,-387.8034363,-363.1653442,-120.3953247,-58.04441071,5.940594196,65.6880722,170.2055969,180.3818359,296.9776611,301.2422485,273.3139648,277.35849,285.181427,326.9421387,300.6409592,139.2668728,-375.4843903,167.2964387,326.9421387,8,8,142
EG-6-3,EG_24_3,-2.088507843,3.115925582,1.310108241,8.682859232,3,-119.339346316_43.633318036,-119.3393463,43.63331804,egley,25,110,206.8241425,230.5516205,227.9515381,143.5523071,56.21621704,99.9718399,130.1408386,254.8387146,269.4232178,294.8139648,-364.5741272,-112.606781,141.3265381,223.6674347,230.5271454,237.2281189,187.0720367,148.9133301,112.2572784,189.8395691,250.7919769,171.7758942,147.3443756,198.485672,191.4284401,189.3399323,-238.5904541,209.9196374,250.7919769,3,2,165
EG-7-3,EG_25_3,-207.8465931,1.569615271,0.862470374,30.99934649,3,-119.389481316_43.819464036,-119.3894813,43.81946404,egley,45,110,364.3348083,437.6303711,421.0950012,454.6938782,388.9334412,386.1134644,406.5656433,394.6587524,433.3333435,466.3774414,-416.8207092,-321.6195679,57.75075912,90.15465546,255.2120819,233.2755585,281.086731,111.2656479,184.2475433,269.1437683,358.2474365,234.8860321,259.0120239,307.1547546,415.3736145,207.5270214,-369.2201385,233.4959633,358.2474365,10,4,175
EG-8-3,EG_31_3,-203.4551895,1.719695554,1.030151925,56.62140228,3,-119.384332316_43.825006036,-119.3843323,43.82500604,egley,45,110,461.5064392,554.305481,519.802002,542.1887817,520.8825684,475.7929993,451.6265259,523.0125732,550.4075317,543.052002,-373.0496521,-460.254364,-157.5419006,231.1522064,267.3267212,400.6192017,354.8387146,294.4479065,335.9732056,442.1365051,529.7635498,409.3088989,461.4412231,480.757843,514.2576904,310.8025009,-416.6520081,344.551434,529.7635498,9,5,169
EG-9-3,EG_33_3,-161.5391775,0.38871541,1.471799776,47.77170997,3,-119.393275316_43.707320036,-119.3932753,43.70732004,egley,35,110,281.7133484,300.9437256,299.9661865,270.5467224,248.2014313,282.8630371,232.9603271,305.5258484,310.3448181,289.5291748,-252.0325165,-289.3289185,-51.43667984,-14.45285606,-63.55645752,-52.69722366,105.2631607,169.2220306,230.473053,231.1543884,336.2373962,316.9960327,415.4294128,234.3428345,282.259462,120.7202845,-270.6807175,45.25734629,415.4294128,8,8,192
EG-10-3,EG_34_3,-279.2305191,1.311413722,0.810253842,47.56480064,3,-119.360213316_43.849130036,-119.3602133,43.84913004,egley,55,111,513.560791,543.5684814,552.2107544,520.3366089,501.5632019,487.6106262,528.0236206,558.5541992,487.5549011,536.9685669,-305.9177551,-347.1008606,-188.4273071,205.0561829,241.7871246,295.9183655,271.559021,280.4679871,303.5429382,309.4224854,372.5140991,345.8056641,415.0655823,423.7588501,522.9951752,243.7646561,-326.5093079,258.928024,423.7588501,13,10,184
EA-1-1,EA_5_1,-287.3,-2.752870277,1.305355304,43.36263736,1,-118.512560193_44.491772617,-118.5125602,44.49177262,easy,45,110,303,443,372,418,370,395,392,396,400,395,330,0,0,0,0,0,21,38,145,241,240,326,444,507,388.4,101.1,165,-242.9020454,507,11,9,191
EA-2-1,EA_6_1,-300.1,-2.086061889,1.008871467,45.42857143,1,-118.486055193_44.497622617,-118.4860552,44.49762262,easy,55,110,308,452,449,471,474,537,547,543,506,560,487,0,0,20,88,40,151,196,282,360,279,430,470,489,484.7,184.6,243.5,-251.1342404,489,11,9,100
EA-3-1,EA_11_1,-306.3,-2.610243646,1.001655629,28.25824176,1,-118.496936193_44.487547617,-118.4969362,44.48754762,easy,45,110,228,360,382,376,358,323,443,398,344,412,294,0,0,0,0,0,0,9,66,102,161,223,264,363,362.4,56.1,147,-236.8072512,363,13,11,132
EA-4-1,EA_12_1,-194.5,-1.713711684,1.167664671,43.42857143,1,-118.486334193_44.493722617,-118.4863342,44.49372262,easy,45,110,203,369,428,452,401,419,446,440,394,456,428,0,0,9,130,55,196,253,307,321,369,423,416,468,400.8,206.3,214,-162.0139785,468,9,7,121
EA-5-1,EA_15_1,-276.4,-2.51590857,1.199760048,28.25274725,1,-118.502237193_44.501197617,-118.5022372,44.50119762,easy,45,110,252,322,382,309,302,302,380,373,371,341,304,0,0,0,18,0,33,19,57,113,124,206,270,400,333.4,57,152,-213.716124,400,12,11,95
EA-6-1,EA_16_1,-351.8,-2.417949625,1.032319392,48.43406593,1,-118.488008193_44.501197617,-118.4880082,44.50119762,easy,55,110,346,472,507,533,550,547,573,560,543,629,520,0,0,0,40,39,132,231,246,311,333,410,476,543,526,174.2,260,-300.3024537,543,12,10,131
EA-7-1,EA_22_1,-299.2,-2.937831348,1.124553203,31.87362637,1,-118.523720193_44.494697617,-118.5237202,44.49469762,easy,45,110,248,231,379,410,382,379,359,397,431,421,327,0,0,0,0,0,0,61,73,97,181,233,321,409,363.7,64.5,163.5,-256.625792,409,12,11,135
EA-8-1,EA_27_1,-369.4,-1.431746148,1.012606751,45.69230769,1,-118.474616193_44.521672617,-118.4746162,44.52167262,easy,65,110,363,443,498,469,458,467,541,522,608,549,0,0,0,0,0,0,0,127,174,276,281,366,459,498,491.8,122.4,0,-206.5200117,498,12,11,157
EA-1-2,EA_5_2,-487.5,-1.370672138,0.279817424,10.27472527,2,-118.498889193_44.478122617,-118.4988892,44.47812262,easy,55,110,450,486,479,516,438,539,564,507,557,503,0,0,0,0,10,0,0,19,0,10,46,79,116,141,503.9,16.4,0,-194.6585361,141,NA,NA,201
EA-2-2,EA_6_2,-421.4,-2.232541738,0.64690027,24.63736264,2,-118.477406193_44.486247617,-118.4774062,44.48624762,easy,45,110,354,428,466,544,454,522,515,553,459,528,298,0,0,0,0,0,17,57,67,106,163,199,213,312,482.3,60.9,149,-272.2467765,312,NA,13,141
