NewSiteID,OldSiteID,delta_nbr,relative_regrowth,pct_recovery,postfire_fitted_slope,cluster,x_y,x,y,fire,canopy_cover,veg_height,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,predisturbance_nbr,postdisturbance_nbr,disturbance_nbr,absolute_regrowth,max.postfire.nbr,time_to_0.8recovery,time_to_0.6recovery,hli
EG-B2-2,EG_8_2,-333.3775131,0.15096508,0.285512313,29.54210598,2,-119.302761316_43.850760036,-119.3027613,43.85076004,egley,45,110,335.8547668,306.25,311.7533569,271.4486694,263.4289856,255.3606262,365.2453613,289.2097778,317.1508179,385.596405,-298.0132446,-318.1976929,-256.3840637,-151.271759,-51.32962418,-46.58385086,39.75943756,37.10247421,32.96703339,72.46376801,41.68952179,49.1106987,68.47826385,88.54589844,310.1298767,-23.24763641,-308.1054688,23.90935149,88.54589844,NA,NA,203
EG-B3-2,EG_13_2,-351.3719095,-1.687248517,0.361597179,-0.763061869,2,-119.394901316_43.773824036,-119.3949013,43.77382404,egley,35,110,218.0059509,230.9360352,217.1008759,282.3991394,223.0933685,247.1622162,312.5679016,305.4518433,267.6371765,327.6197815,-146.5990753,-212.0333405,95.17144775,-6.193078518,-144.8366852,-113.0434799,-160.3535309,-122.6006165,-129.4669037,-114.4225616,-92.52948761,-93.46990967,-87.59894562,-55.52801132,263.1974289,-88.17448058,-179.3162079,-157.7495312,95.17144775,NA,NA,176
EG-B4-2,EG_17_2,-401.3698312,-0.314679496,0.260494416,34.3082258,2,-119.640156316_43.875536036,-119.6401563,43.87553604,egley,45,111,392.6963501,368.421051,341.8326721,348.6238403,316.9354858,341.3621216,335.8208923,298.993042,326.5720215,315.9664001,-341.2052002,-336.7088623,-243.168457,-102.1069717,-218.4776306,-178.0076141,-47.67153549,-24.80158806,3.257328987,56.67360687,45.23809433,82.59033203,85.67243958,88.23529053,338.7223877,-62.64744349,-338.9570313,-48.12886753,88.23529053,NA,NA,191
EG-B5-2,EG_22_2,-319.7115653,-0.357669528,0.240202658,16.04875936,2,-119.370240316_43.756220036,-119.3702403,43.75622004,egley,35,110,261.021698,244.8979645,269.2867432,312.0119019,286.5745544,253.2281189,296.8171692,272.4039917,303.0523376,336.3533325,-283.0357056,-289.9770508,-28.63056183,22.02937317,-104.4867859,-69.98813629,-74.03253174,-63.12849045,-46.23802948,-25.72983742,-3.196459293,31.93361855,33.87638855,68.11301422,283.5647812,-36.14678407,-286.5063782,-40.69942338,68.11301422,NA,NA,181
EG-B6-2,EG_26_2,-310.8410988,0.444154476,0.158276301,25.19188543,2,-119.350728316_43.834134036,-119.3507283,43.83413404,egley,45,110,258.6979065,240.2277069,249.0118561,282.160614,246.5654449,183.6425629,209.752594,272.3197632,233.2514954,294.0740662,-492.8838806,-408.0882263,-168.8875122,-143.7658997,-109.6385574,-81.72280884,-43.47826004,-73.87863159,-32.42542267,1.227596402,39.08956146,-25.22704315,-1.285677552,33.51519775,246.970401,-63.87069777,-450.4860535,62.732792,39.08956146,NA,NA,189
EG-B7-2,EG_32_2,-399.5477455,-0.349731455,-0.101545379,14.21888947,2,-119.397611316_43.759154036,-119.3976113,43.75915404,egley,45,110,173.2711792,302.7444153,308.7409668,293.1506958,287.7049255,325.7097778,318.1089783,297.320282,312.5253296,358.9425964,-370.8370972,-381.4199524,-83.6076355,-59.96533966,-137.5276642,-117.9872742,-144.1047974,-122.437355,-134.2391357,-108.0608902,-54.21389771,-55.11431885,-30.24243927,-44.42860413,297.8219147,-101.7258308,-376.1285248,-49.45850618,-30.24243927,NA,NA,181
EG-B8-2,EG_36_2,-533.2052139,-0.997422489,-0.178291155,13.46195577,2,-119.468342316_43.781322036,-119.4683423,43.78132204,egley,45,110,334.9168701,416.0524292,386.6465454,349.674469,421.9001465,382.1073608,416.7009583,385.1535034,397.9348755,420.5087585,-298.17276,-311.5752869,-122.7020111,-198.901535,-209.0517273,-147.5306702,-166.0066986,-166.4596252,-129.721817,-102.3489914,-95.39295197,-82.3401947,-109.662796,-69.74029541,391.1595917,-142.0456223,-304.8740234,-161.7482256,-69.74029541,NA,NA,139
EG-B9-2,EG_37_2,-387.7485206,-0.11837108,0.103469201,21.48871721,2,-119.344224316_43.725576036,-119.3442243,43.72557604,egley,45,110,251.3128357,265.402832,335.5957642,310.3192139,267.2978821,290.81427,310.3448181,262.0768433,320.031311,336.360199,-397.9815674,-371.9125061,-185.6745453,-49.69366837,-137.2674866,-125.9519653,-93.47641754,-105.8691406,-118.9499588,-88.57001495,-27.21774101,4.74170208,-5.839045525,30.51881981,294.9555969,-92.79292364,-384.9470367,-17.34931632,30.51881981,NA,NA,176
EG-B10-2,EG_42_2,-515.6693626,-0.256580329,0.10297732,30.28321082,2,-119.584330316_43.878470036,-119.5843303,43.87847004,egley,45,111,345.2807617,419.4078979,400.8311157,422.8083801,380.1747131,393.9393921,368.2155457,386.9158936,458.3795776,400.7050476,-463.2843933,-415.3960571,-297.0261536,-136.9862976,-195.0769196,-178.9532928,-96.07351685,-92.21679688,-84.80309296,-46.01226807,-33.54297638,-19.34398651,11.20206833,40.95056152,397.6658325,-118.0035301,-439.3402252,-49.57623409,40.95056152,NA,NA,189
EG-B11-2,EG_43_2,-511.2462227,-0.689507024,-0.236828411,20.10089145,2,-119.722269316_43.869994036,-119.7222693,43.86999404,egley,45,110,211.1706238,401.5532227,344.2492065,336.0096436,314.1300049,287.8431396,317.3895569,355.0247192,326.5637817,381.486084,-332.0999146,-379.5821838,-316.5829163,-219.5472565,-212.4743042,-196.4512024,-178.5604858,-166.0628052,-161.114151,-143.897995,-164.7798767,-77.57125092,-77.5818634,-107.9460297,327.5419983,-183.7042244,-355.8410492,-119.2754634,-77.57125092,NA,NA,167
