"","delta_nbr","relative_regrowth","pct_recovery","postfire_fitted_slope","cluster","x_y","x","y","fire","canopy_cover","veg_height","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_nbr","postdisturbance_nbr","disturbance_nbr","absolute_regrowth","max.postfire.nbr","time_to_0.8recovery","time_to_0.6recovery","hli","SiteID"
"26",-381.032299757004,-0.130670274627494,0.680242481227621,48.8795796593467,1,"-119.342869316_43.778062036",-119.342869316,43.778062036,"egley",45,111,463.002105712891,550.617309570312,478.305267333984,453.512390136719,450.777191162109,435.871246337891,467.985412597656,389.350280761719,436.154235839844,510.017181396484,-274.038452148438,-388.349517822266,-92.0692825317383,68.9061126708984,-101.604278564453,-6.02409648895264,29.0121192932129,4.9223780632019,91.9377670288086,210.003204345703,312.444580078125,307.741119384766,304.235382080078,315.332702636719,463.559262084961,82.5269623279572,-331.193984985352,-21.4426556657527,315.332702636719,NA,10,127,"EG_26_1"
"27",-341.489507484436,-0.317031078586648,0.69877098063466,32.7828435688228,1,"-119.316040316_43.859562036",-119.316040316,43.859562036,"egley",45,110,426.816040039062,441.568634033203,467.061431884766,425.418579101562,439.015014648438,427.293060302734,436.619720458984,479.984741210938,506.639831542969,511.553771972656,-58.4983863830566,-181.749053955078,-48.6085357666016,59.1150436401367,21.5090465545654,113.176239013672,144.761901855469,111.690002441406,105.760437011719,155.542663574219,245.955581665039,238.173370361328,256.994506835938,318.777282714844,456.197082519531,114.707575035095,-120.123720169067,-46.3123073321169,318.777282714844,NA,13,141,"EG_27_1"
"28",-281.498778915405,0.832140600526621,0.554419051092436,32.5707993978982,1,"-119.377286316_43.763718036",-119.377286316,43.763718036,"egley",45,111,316.3818359375,388.245391845703,384.114044189453,335.748779296875,373.809509277344,356.187286376953,366.449523925781,336.833587646484,364.013275146484,403.449737548828,-420.317779541016,-393.038726806641,-102.831596374512,74.2647094726562,22.6581001281738,49.3441581726074,62.6311073303223,71.5345764160156,96.1832046508789,144.028427124023,191.442672729492,200.989822387695,143.753570556641,183.425415039062,362.523297119141,81.0245182037354,-406.678253173828,128.367104524753,200.989822387695,NA,NA,163,"EG_28_1"
"29",-328.596905106306,0.00193367393074868,0.627161811936743,39.7482231635969,1,"-119.569154316_43.872602036",-119.569154316,43.872602036,"egley",55,110,446.462707519531,406.417114257812,412.262145996094,397.116638183594,475.278381347656,345.486877441406,324.767395019531,371.309783935547,459.719787597656,437.340148925781,-199.657241821289,-217.245712280273,-193.201522827148,-124.877090454102,-0.304599463939667,29.1858673095703,141.741744995117,124.784355163574,193.438919067383,186.78938293457,212.537811279297,220.097061157227,209.10383605957,255.641250610352,407.616098022461,79.0191929161549,-208.451477050781,0.286115263717786,255.641250610352,NA,13,158,"EG_29_1"
"30",-314.947535324097,-0.0382290205362456,0.520429610568559,38.6050776911306,1,"-119.395985316_43.711558036",-119.395985316,43.711558036,"egley",35,110,289.293853759766,304.198211669922,294.812866210938,286.533905029297,285.477996826172,268.276092529297,276.725311279297,281.063110351562,299.087524414062,321.739135742188,-382.157135009766,-383.379669189453,-152.029067993164,-117.408905029297,-163.384780883789,-128.06672668457,-61.8975143432617,26.284631729126,16.8846607208252,90.6574401855469,95.3932037353516,151.299713134766,139.747711181641,149.927215576172,290.72080078125,-24.2267345428467,-382.768402099609,-5.46416734028837,151.299713134766,NA,NA,207,"EG_30_1"
"31",-286.647733139992,0.536968800617901,0.498302813329943,28.9544548831143,1,"-119.368072316_43.833156036",-119.368072316,43.833156036,"egley",45,110,294.397277832031,320.577606201172,318.711456298828,302.511840820312,305.330047607422,265.245056152344,336.531372070312,285.361541748047,310.880828857422,330.575653076172,-442.6103515625,-374.410766601562,-73.1552200317383,-77.3369216918945,-57.2932815551758,-24.2554492950439,19.2069396972656,-2.04260277748108,62.0848960876465,152.985076904297,121.642967224121,81.8089447021484,58.2039909362793,132.616485595703,307.012268066406,20.3645349264145,-408.510559082031,76.9398492161695,152.985076904297,NA,NA,192,"EG_31_1"
"32",-116.476621365547,-0.81443214033778,0.722192394808522,12.8937094394977,1,"-119.605197316_43.850108036",-119.605197316,43.850108036,"egley",35,110,131.778060913086,141.013229370117,156.56867980957,141.628265380859,143.844223022461,117.30827331543,114.995399475098,182.151596069336,186.495178222656,207.201522827148,-71.3743362426758,-111.49584197998,67.8733062744141,-1.92926049232483,-18.4275188446045,-11.6959066390991,8.52757263183594,61.2244911193848,22.1969261169434,46.2519950866699,79.1173324584961,105.079277038574,101.376014709473,109.988777160645,152.298442840576,35.821821475029,-91.4350891113281,-39.509702189278,109.988777160645,NA,11,186,"EG_32_1"
"33",-212.668565177917,0.513460460317193,1.01526525326979,33.5760185954335,1,"-119.374034316_43.686782036",-119.374034316,43.686782036,"egley",45,111,355.623107910156,364.978057861328,401.80322265625,354.935943603516,357.229156494141,309.853576660156,335.742980957031,327.586212158203,374.159820556641,439.405792236328,-353.099731445312,-230.360534667969,135.929458618164,195.546279907227,104.374786376953,-26.3504619598389,87.9949722290039,111.247695922852,93.8878402709961,209.724670410156,279.588348388672,302.688629150391,367.659820556641,356.294525146484,362.131787109375,149.463221931458,-291.730133056641,53.6054485763912,367.659820556641,11,10,157,"EG_33_1"
"34",-235.730333137512,0.694482105818646,0.723788199143415,32.1708336400462,1,"-119.365362316_43.810336036",-119.365362316,43.810336036,"egley",55,111,353.454559326172,381.102355957031,319.913726806641,319.722930908203,343.988372802734,272.271911621094,367.641326904297,352.112670898438,345.632537841797,441.573455810547,-407.263916015625,-322.727264404297,64.08544921875,48.2166442871094,9.44317817687988,51.4178886413574,108.083557128906,106.738220214844,131.405670166016,184.959915161133,235.647888183594,200.112106323242,253.138687133789,232.809967041016,349.741384887695,114.011051750183,-364.995590209961,91.8546308299068,253.138687133789,NA,10,113,"EG_34_1"
"35",-296.144130134582,0.533524057818342,0.756451422377368,49.1664927870363,1,"-119.381080316_43.739268036",-119.381080316,43.739268036,"egley",45,110,297.452758789062,418.846008300781,354.6875,304.754486083984,322.339996337891,316.526611328125,336.519317626953,345.986541748047,346.353118896484,364.913696289062,-429.404418945312,-409.108001708984,-250.090484619141,-93.6916732788086,-85.6751174926758,-31.2401390075684,25.0079135894775,112.225708007812,175.051483154297,176.863174438477,189.641220092773,228.846649169922,257.827392578125,211.951965332031,340.838003540039,44.6938734054565,-419.256210327148,92.57623381953,257.827392578125,NA,11,175,"EG_35_1"
"36",-200.793911743164,0.647763376841969,0.835141764616461,36.044866331331,1,"-119.381893316_43.816204036",-119.381893316,43.816204036,"egley",45,110,196.747970581055,233.431518554688,263.120819091797,224.016860961914,259.234619140625,257.460083007812,267.687805175781,210.620742797852,251.991317749023,241.995529174805,-407.563018798828,-319.800567626953,-58.4594230651855,-108.981185913086,-84.8684234619141,-54.3735237121582,47.870777130127,58.3501014709473,76.4823837280273,143.47590637207,200.96076965332,177.910766601562,190.391464233398,161.290328979492,240.630726623535,39.8368148803711,-363.681793212891,76.887368241879,200.96076965332,10,10,199,"EG_36_1"
"37",-365.127894210815,-0.126400197765857,1.02571872441694,63.9279613704472,1,"-119.642324316_43.878144036",-119.642324316,43.878144036,"egley",45,110,582.572021484375,443.194610595703,445.304931640625,427.032318115234,446.169769287109,404.926116943359,435.406707763672,402.534118652344,409.621673583984,433.155090332031,-276.532135009766,-314.190582275391,-219.693832397461,-55.7451667785645,-114.33757019043,-58.5656127929688,44.6672744750977,68.2593841552734,160.766098022461,241.537292480469,322.327484130859,389.423065185547,423.598815917969,454.384918212891,442.991735839844,77.8638416290283,-295.361358642578,-21.4717241908699,454.384918212891,11,10,189,"EG_37_1"
"38",-200.820730280876,0.330547846009134,0.879195556154469,33.2877784508925,1,"-119.375660316_43.742202036",-119.375660316,43.742202036,"egley",25,110,185.904357910156,223.172622680664,242.281143188477,179.340026855469,191.082809448242,217.14079284668,187.412582397461,211.424591064453,235.53564453125,245.185180664062,-301.447998046875,-318.597564697266,-142.857147216797,-2.96296286582947,-71.2643661499023,-69.4920501708984,-55.150276184082,15.093222618103,85.4515991210938,83.549560546875,116.782676696777,151.122192382812,186.255798339844,145.676452636719,211.847975158691,11.0272448778152,-310.02278137207,36.7574667171258,186.255798339844,12,11,164,"EG_38_1"
"39",-237.096082687378,0.388012305865199,0.834020688795498,37.0876013787238,1,"-119.392733316_43.836090036",-119.392733316,43.836090036,"egley",45,110,324.640289306641,370.510406494141,407.407409667969,359.395812988281,335.090026855469,324.835174560547,381.615600585938,387.865173339844,332.751861572266,342.681854248047,-150.050354003906,-198.994552612305,-78.8177337646484,-45.0949363708496,49.4134368896484,99.5195617675781,128.310974121094,133.15754699707,189.671661376953,189.368774414062,264.714569091797,265.588928222656,249.464340209961,297.477966308594,356.679360961914,119.583278274536,-174.522453308105,51.1770706773933,297.477966308594,13,10,199,"EG_39_1"
"40",-275.977047300339,0.0585570573343843,0.401822418688936,30.6953488601433,1,"-119.394359316_43.729488036",-119.394359316,43.729488036,"egley",25,110,245.297805786133,195.64372253418,196.625091552734,175.919250488281,193.259231567383,182.434844970703,222.720474243164,157.628341674805,222.558670043945,235.071807861328,-397.909973144531,-358.425415039062,-177.500839233398,-145.038162231445,-169.970748901367,-117.64705657959,-97.9245834350586,-70.0525360107422,-34.2696647644043,-7.48663091659546,5.82318687438965,81.4558029174805,78.8359756469727,72.8305816650391,202.715924072266,-73.2611232280731,-378.167694091797,7.19556419328192,81.4558029174805,NA,NA,175,"EG_40_1"
"41",-329.351808547974,-0.524004158452067,0.627246971674907,28.814915227366,1,"-119.384603316_43.798274036",-119.384603316,43.798274036,"egley",45,111,505.747131347656,537.170288085938,532.5224609375,472.590881347656,568.421081542969,570.123596191406,473.629791259766,570.742126464844,520.179382324219,607.758605957031,104.138854980469,-58.2582588195801,24.1980857849121,140.458862304688,108.659683227539,210.453918457031,189.4013671875,209.230773925781,260.334197998047,289.198608398438,336.134460449219,297.297302246094,313.457550048828,318.377899169922,535.888534545898,206.536725997925,22.9402980804443,-69.4180830879671,336.134460449219,NA,10,90,"EG_41_1"
"42",-295.507278442383,1.09295379068043,0.691680387149914,34.8239391452663,1,"-119.374034316_43.772194036",-119.374034316,43.772194036,"egley",45,111,377.453216552734,488.147064208984,489.730712890625,427.264404296875,428.447540283203,430.776214599609,453.662841796875,420.316040039062,464.040313720703,529.742370605469,-397.095642089844,-420.855834960938,-215.686279296875,164.319244384766,107.946029663086,184.673797607422,220.248077392578,123.75,193.506500244141,259.27978515625,311.918853759766,204.55192565918,232.346908569336,112.88939666748,450.958071899414,155.450793457031,-408.975738525391,206.893752687116,311.918853759766,NA,10,158,"EG_42_1"
"43",-283.904365730286,0.984184435094329,0.813027725887734,38.772211431147,1,"-119.652351316_43.815226036",-119.652351316,43.815226036,"egley",45,110,461.063995361328,481.877136230469,473.530487060547,464.179107666016,417.213714599609,390.597381591797,393.082916259766,369.96337890625,412.073486328125,413.946594238281,-378.502716064453,-323.569488525391,-153.205123901367,28.4675960540771,49.8799667358398,100,215.940231323242,148.528732299805,222.460144042969,293.345397949219,347.77490234375,185.292694091797,223.300964355469,219.733200073242,427.752819824219,143.848454093933,-351.036102294922,158.012138664448,347.77490234375,10,9,162,"EG_43_1"
"44",-254.819248962402,-0.795915834556358,0.948777310191705,34.2490630516639,1,"-119.423356316_43.746114036",-119.423356316,43.746114036,"egley",45,110,335.760528564453,433.007995605469,424.402099609375,355.284545898438,412.535858154297,414.141418457031,351.684478759766,385.412170410156,373.720825195312,404.040405273438,33.5439949035645,-92.1861267089844,33.9468307495117,79.6178359985352,23.068473815918,59.0174751281738,135.832824707031,43.5315742492676,189.421890258789,208.249786376953,313.380279541016,255.730865478516,369.073455810547,346.189727783203,388.999032592773,134.179783630371,-29.32106590271,-77.4309876552297,369.073455810547,10,10,174,"EG_44_1"
