Plot,Subplot,Spec,St,Ht,Browse,Plot Size,DBH,Seed Tree,cluster,Comments,,,,,
WH-5-1,4,PIPO,L,240,0,400,2.3,53.6,1,,,,,,
WH-5-1,4,PIPO,L,250,0,400,5.6,53.6,1,,,,,,
WH-5-2,1,LAOC,L,310,0,400,3.5,10.4,2,,,,,,
WH-5-2,1,PIPO,L,380,0,400,8.7,63.5,2,,,,,,
WH-5-2,1,LAOC,L,410,0,400,4.9,10.4,2,,,,,,
WH-5-2,1,LAOC,L,420,0,400,9.3,10.4,2,,,,,,
WH-5-2,1,LAOC,D,440,NA,400,6.2,10.4,2,,,,,,
WH-5-2,1,PSME,L,460,0,400,8.2,32.3,2,,,,,,
WH-5-2,2,JUOC,L,210,0,400,1.7,>300,2,,,,,,
WH-5-2,2,PIPO,L,240,0,400,3.1,63.5,2,,,,,,
WH-5-2,2,PIPO,L,260,0,400,3.8,63.5,2,,,,,,
WH-5-2,2,PIPO,L,440,0,400,9.6,63.5,2,,,,,,
WH-5-2,3,PSME,L,250,0,400,5.7,32.3,2,,,,,,
WH-5-2,4,PIPO,L,230,0,400,1.9,63.5,2,,,,,,
WH-5-2,4,PSME,L,250,0,400,4.3,32.3,2,,,,,,
WH-5-2,4,PIPO,L,260,0,400,4.7,63.5,2,,,,,,
WH-5-2,4,PIPO,L,430,0,400,8.1,63.5,2,,,,,,
WH-5-3,1,JUOC,L,95,0,400,1.7,>300,3,,,,,,
WH-5-3,1,PIPO,L,105,0,400,1.6,97.8,3,,,,,,
WH-5-3,1,PIPO,L,280,0,400,6.4,,3,,,,,,
WH-5-3,1,PIPO,L,380,0,400,9.4,97.8,3,,,,,,
WH-5-3,1,PIPO,L,390,0,400,9.4,97.8,3,,,,,,
WH-5-3,2,JUOC,L,90,0,400,1.2,>300,3,,,,,,
WH-5-3,2,JUOC,L,250,0,400,2.4,>300,3,,,,,,
WH-5-3,2,PSME,L,490,0,400,8.9,7.3,3,,,,,,
WH-5-3,3,PIPO,L,225,0,400,4.5,97.8,3,,,,,,
WH-5-3,3,PIPO,L,350,0,400,7.8,97.8,3,,,,,,
WH-5-3,4,JUOC,L,125,0,400,1.6,>300,3,,,,,,
WH-5-3,4,PIPO,L,260,0,400,6.1,97.8,3,,,,,,
WH-5-3,4,PIPO,L,260,0,400,6.3,97.8,3,,,,,,
WH-6-3,1,PIPO,L,385,0,200,9.1,24.9,3,,,,,,
WH-6-3,3,PSME,L,140,0,200,2.3,>300,3,,,,,,
WH-6-3,3,JUOC,L,150,0,200,1.9,>300,3,,,,,,
WH-6-3,4,JUOC,L,185,0,200,2.5,>300,3,,,,,,
WH-6-3,4,PIPO,L,380,0,200,8.5,24.9,3,,,,,,
WH-7-3,1,LAOC,L,470,0,200,3.9,7.5,3,,,,,,
WH-7-3,1,PSME,L,500,0,200,6.6,9.5,3,,,,,,
WH-7-3,1,PSME,L,550,0,200,8.1,9.5,3,,,,,,
WH-7-3,1,LAOC,L,>600,0,200,9.1,7.5,3,PIPO seed tree: 10.1,,,,,
WH-7-3,1,LAOC,L,~500,0,200,4.6,7.5,3,,,,,,
WH-7-3,2,LAOC,L,540,0,200,8.8,7.5,3,,,,,,
WH-7-3,2,LAOC,L,550,0,200,8.9,7.5,3,,,,,,
