X,Y,Comment,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,GPS_Week,GPS_Second,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Latitude,Longitude,Point_ID
-118.754389976599,44.9921566525055,,Postprocessed Code,2022/07/18,05:29:24pm,Point_generic,TCN1.cor,"1788","1788","2219",174582.000,1267.132,0.3,0.2,0.422008,"44.992156653","-118.754389977","1"
-118.697539597332,44.9875079637918,,Real-time SBAS Corrected,2022/07/17,04:19:04pm,Point_generic,TCS2.cor,"185","185","2219",83962.000,1447.374,1.1,0.9,0.725329,"44.987507964","-118.697539597","2"
-118.693486307988,45.0585035253167,,Real-time SBAS Corrected,2022/07/18,08:31:20am,Point_generic,TN2.cor,"1329","1329","2219",142298.000,1382.428,0.5,0.4,4.396950,"45.058503525","-118.693486308","3"
-118.695543567044,45.0594060484821,,Real-time SBAS Corrected,2022/07/18,10:42:26am,Point_generic,TN3.cor,"720","720","2219",150164.000,1372.056,1.2,0.7,0.990631,"45.059406048","-118.695543567","4"
-118.829200976763,45.0363792369976,,Real-time SBAS Corrected,2022/07/18,02:54:50pm,Point_generic,TS1.cor,"186","186","2219",165308.000,1138.800,2.8,1.9,15.158947,"45.036379237","-118.829200977","5"
-118.829764191455,45.0354395281591,,Real-time SBAS Corrected,2022/07/18,02:20:14pm,Point_generic,TS2.cor,"195","195","2219",163232.000,1240.053,0.6,0.4,0.790761,"45.035439528","-118.829764191","6"
