Plot,Subplot,Spec,St,Ht,Browse,Plot Size,Seed Tree,Comments,,,,
M27,,ABGR,L,23,,60,,,,,,
M27,,ABGR,L,26,,60,,,,,,
M27,,ABGR,L,29,,60,,,,,,
M27,,ABGR,L,27,,60,,,,,,
M27,,ABGR,L,32,,60,,,,,,
M27,,ABGR,L,22,,60,,,,,,
M27,,ABGR,L,36,,60,,,,,,
M27,,ABGR,L,19,,60,,,,,,
M27,,ABGR,L,13,,60,,,,,,
M27,,ABGR,L,27,,60,,,,,,
M27,,ABGR,L,14,,60,,,,,,
M27,,ABGR,L,27,,60,,,,,,
M27,,ABGR,L,23,,60,,,,,,
M27,,ABGR,L,32,,60,,,,,,
M27,,ABGR,L,29,,60,,,,,,
M27,,ABGR,L,12,,60,,,,,,
M27,,ABGR,L,12,,60,,,,,,
M27,,ABGR,L,19,,60,,,,,,
M27,,ABGR,L,21,,60,,,,,,
M27,,ABGR,L,41,,60,,,,,,
M26,,LAOC,L,18,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,LAOC,L,20,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,LAOC,L,37,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,PIEN,L,18,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M27,,PIEN,L,29,,60,,,,,,
M27,,PIEN,L,11,,60,,,,,,
M27,,PIEN,L,21,,60,,,,,,
M27,,PIEN,L,29,,60,,,,,,
M27,,PIEN,L,30,,60,,,,,,
M27,,PIEN,L,8,,60,,,,,,
M27,,PIEN,L,8,,60,,,,,,
M27,,PIEN,L,9,,60,,,,,,
M27,,PIEN,L,20,,60,,,,,,
M27,,PIEN,L,21,,60,,,,,,
M27,,PIEN,L,20,,60,,,,,,
M27,,PIEN,L,20,,60,,,,,,
M27,,PIEN,L,24,,60,,,,,,
M27,,PIEN,L,7,,60,,,,,,
M27,,PIEN,L,20,,60,,,,,,
M27,,PIEN,L,16,,60,,,,,,
M27,,PIEN,L,17,,60,,,,,,
M27,,PIEN,L,24,,60,,,,,,
M27,,PIEN,L,21,,60,,,,,,
M27,,PIEN,L,21,,60,,,,,,
M27,,PIEN,L,19,,60,,,,,,
