X,Long,Lat,postdisturbance_nbr,delta_nbr,relative_regrowth,pct_recovery,postfire_fitted_rsq,postfire_fitted_slope,cluster,x_y,Plot,fire,canopy_cover,veg_height,hli,cwd_present,cwd_future,elevation,TE_future,TE_present,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,predisturbance_nbr,disturbance_nbr,dnbr,absolute_regrowth,max.postfire.nbr,time_to_0.8recovery,time_to_0.6recovery,postfire_ppt,postfire_tmin,postfire_tmax,postfire_vpdmin,postfire_vpdmax,postfire_tmean,precip,tmean,vpdmax,re.0gen_prob
15,-117.539149286459,46.2980399360596,179.1,-487.2,-1.49516917279202,0.486267447095903,0.631361233695908,-13.2637362637363,2,-117.539149286459_46.2980399360596,NA,School,65,110,190,312,437,1249,N,N,667,690,649,689,687,671,672,649,637,652,20,324,219,225,151,224,166,159,147,100,76,131,145,128,666.3,172,632,-163.145959989492,324,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,677.79832285128,8.11014413168106,10.3182401385302,NA
16,-117.540451672041,46.2773682085605,146.9,-574.4,-1.0504310021013,0.56148620546236,0.622747604593003,23.8681318681319,2,-117.540451672041_46.2773682085605,NA,School,55,111,128,278,394,1429,N,N,698,700,696,699,734,730,685,758,737,776,0,0,164,214,125,195,45,121,184,214,207,308,387,405,721.3,0,776,-175.024150583242,405,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,815.572814672313,7.65996062260665,9.65139943488075,0.650364100933075
17,-117.5405843,46.27721889,157.4,-565,-1.03034703563817,0.60077519379845,0.704498416621248,27.5769230769231,2,-117.5405843_46.27721889,H2,School,55,111,126,278,394,1429,N,N,698,716,696,752,768,640,711,758,749,736,0,0,172,199,118,188,45,140,223,250,239,334,414,434,722.4,0,736,-170.593193638113,434,NA,13,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,818.430030723866,7.49378018071455,9.52174740237691,0.650364100933075
18,-117.543841813464,46.3060563863892,275.7,-391.9,-1.04440221291287,0.55122828040743,0.0410458647511031,-2.2912087912088,2,-117.543841813464_46.3060563863892,NA,School,55,111,77,316,442,1286,N,N,599,658,582,717,675,637,711,691,709,697,89,368,259,289,275,310,275,295,253,234,199,277,292,346,667.6,228.5,608,-115.156047500223,368,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,687.614181407334,8.17062820678766,10.3720468612408,NA
19,-117.548430615497,46.2988228431765,250.4,-478.2,-1.13173452536964,0.492725775459786,0.193534398847082,-5.03296703296702,2,-117.548430615497_46.2988228431765,NA,School,55,111,116,312,437,1249,N,N,685,734,671,770,749,716,734,750,749,728,24,359,248,285,229,257,282,229,237,196,182,241,254,282,728.6,191.5,704,-140.924845914698,359,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,725.510788673882,8.13348902032759,10.254716282212,NA
20,-117.548666891907,46.2766978475851,253.7,-440,-1.21081304980858,0.774109845754649,0.702850395262482,31.1538461538462,2,-117.548666891907_46.2766978475851,NA,School,55,111,134,282,402,1412,N,N,691,716,719,670,666,681,698,659,724,713,0,151,278,261,176,185,82,262,351,395,396,491,495,537,693.7,75.5,713,-157.390773089463,537,NA,11,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,846.784070370817,7.64484821379424,9.64040540763409,0.696373045444489
21,-117.549895703018,46.2953392648761,259.3,-447.2,-0.825685400090932,0.461429582448691,0.389919320439993,6.12637362637363,2,-117.549895703018_46.2953392648761,NA,School,55,111,133,312,437,1347,N,N,687,692,705,701,708,692,710,748,709,713,80,266,223,214,243,290,276,299,301,223,258,320,326,306,706.5,173,633,-109.778390726276,326,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,725.510788673882,8.13348902032759,10.254716282212,NA
22,-117.550019643516,46.3141592882766,209.6,-484.4,-0.837030609294788,0.373198847262248,0.0107511300702958,-0.857142857142859,2,-117.550019643516_46.3141592882766,NA,School,55,111,106,325,452,1273,N,N,702,710,710,696,669,659,724,651,698,721,0,231,183,213,232,259,204,231,172,183,188,253,255,171,694,115.5,721,-112.190338298147,259,NA,NA,623.133101242997,2.81393134682612,12.7975378728921,2.38509329822322,11.2816399691879,7.80573460985912,694.218330089016,8.28587065550014,10.4835678530647,NA
23,-117.556531595648,46.3092149781416,273.8,-412.1,-0.542978832785837,0.475287942848812,0.192695345506142,-11.543956043956,2,-117.556531595648_46.3092149781416,NA,School,55,110,141,314,436,1290,N,N,679,677,683,672,686,654,711,739,702,656,0,285,207,179,206,301,297,324,326,289,324,68,81,54,685.9,142.5,656,-73.6418860129977,326,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,711.73490660798,8.20437407810735,10.230622550858,NA
24,-117.558487170444,46.3361881093171,356.8,-321.1,-0.204580396527216,0.770025077445051,0.768394680045497,18.043956043956,1,-117.558487170444_46.3361881093171,NA,School,45,110,126,355,490,1113,N,N,629,699,613,725,667,714,689,658,717,668,0,330,326,310,292,411,336,366,403,370,424,514,513,522,677.9,165,668,-21.9800285633599,522,NA,5,755.560275731436,3.34499631887928,12.5873920606674,2.78568846114556,11.1932978904944,7.96619418977336,697.538528899438,8.474860614108,11.3064977685107,NA
25,-117.559859071298,46.3060815107896,222.3,-366.1,-1.16181085315325,0.598232494901428,0.664688944721695,-18.3186813186813,2,-117.559859071298_46.3060815107896,NA,School,45,111,157,297,415,1365,N,N,623,573,597,597,554,566,592,582,581,619,20,266,352,226,260,292,131,247,121,154,174,185,92,45,588.4,143,599,-101.391061629474,352,NA,NA,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,734.526357873145,8.0331086791213,9.99010299978414,NA
26,-117.561845981056,46.3015392808207,115.4,-172,-0.640414944811251,0.650661099512874,0.399109150633364,-7.9945054945055,2,-117.561845981056_46.3015392808207,NA,School,35,110,182,297,415,1365,N,N,399,222,292,292,249,269,291,311,263,286,54,149,108,168,187,167,42,132,51,87,63,75,104,59,287.4,101.5,232,-29.0904690869388,187,NA,4,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,759.247436429691,7.93313222724074,9.87374081543286,NA
27,-117.5618789,46.25715141,455.4,-167.8,1.56552033532069,0.864890885750963,0.555449236799204,16.7967032967033,1,-117.5618789_46.25715141,M4,School,55,110,229,272,393,1499,N,N,546,619,657,643,623,607,627,626,656,628,0,237,386,428,505,514,412,539,472,524,537,527,535,527,623.2,118.5,628,148.211907733402,539,4,2,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696,971.796448579505,6.60691378879413,8.63216361213367,0.64339292049408
28,-117.561989235424,46.2677352928374,392.3,-338.1,0.351736065753181,1.01998904709748,0.97028355764637,56.489010989011,1,-117.561989235424_46.2677352928374,NA,School,55,111,103,280,400,1454,N,N,698,754,734,721,755,755,719,742,722,704,0,112,143,234,298,391,377,512,589,625,642,708,718,745,730.4,56,704,56.1875557879285,745,8,7,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696,939.8207818031,6.80441277194045,8.90078243326316,NA
29,-117.562666538977,46.2952355899645,177.4,-476.1,-0.983556679984228,0.468247895944912,0.42162347137653,10.2362637362637,2,-117.562666538977_46.2952355899645,NA,School,65,111,202,300,420,1222,N,N,643,678,619,673,686,620,641,649,681,645,0,228,109,93,145,230,204,195,220,163,187,264,306,259,653.5,114,645,-132.331597094025,306,NA,NA,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,775.235109612652,7.95706745070101,9.92445919597813,0.583960890769958
30,-117.5654794,46.25563003,401.6,-185.8,0.831968566486407,1.19339462036091,0.926122737204602,51.5659340659341,1,-117.5654794_46.25563003,M24,School,65,111,205,265,380,1519,N,N,543,578,613,612,607,586,568,571,611,585,6,179,120,204,297,393,418,554,599,616,636,657,701,683,587.4,92.5,579,97.9626893406886,701,7,5,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696,971.796448579505,6.60691378879413,8.63216361213367,0.64339292049408
31,-117.567185693941,46.3123750729759,274.8,-373.8,-0.368132112014984,0.59204440333025,0.318933219753127,6.85714285714287,2,-117.567185693941_46.3123750729759,NA,School,55,111,167,314,436,1290,N,N,679,603,645,580,693,641,647,691,699,608,0,286,213,263,249,338,252,333,292,258,264,305,384,336,648.6,143,608,-44.5795744209111,384,NA,NA,755.560275731436,3.34499631887928,12.5873920606674,2.78568846114556,11.1932978904944,7.96619418977336,754.893951683775,8.12400163363187,10.1599502952782,0.625539124011993
32,-117.567905462039,46.296991844384,15.2,-216.8,-1.26530524577491,0.357758620689655,1.20557560885138e-4,-0.0714285714285717,2,-117.567905462039_46.296991844384,NA,School,45,111,178,319,439,1222,N,N,288,207,206,302,229,222,193,224,234,215,0,10,0,45,4,0,83,0,0,0,10,38,28,0,232,5,215,-65.072544463163,83,NA,NA,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,781.572269729898,8.05196667822134,10.1034342055204,NA
33,-117.568346845799,46.2904242538077,282.5,-411.7,-0.773129952525368,0.551714203399597,0.203419607258867,5.62637362637364,2,-117.568346845799_46.2904242538077,NA,School,55,111,103,319,439,1222,N,N,656,721,670,703,693,698,681,758,701,661,0,368,242,256,239,283,309,281,315,265,267,326,362,383,694.2,184,661,-93.4150039559686,383,NA,NA,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,831.799627078493,8.03073713587876,10.0673556668872,NA
34,-117.569053655089,46.2864126641946,289.8,-422.2,-1.09662215153428,0.539325842696629,0.161850852823801,5.36813186813187,2,-117.569053655089_46.2864126641946,NA,School,65,111,119,301,421,1298,N,N,666,711,685,712,726,730,703,725,733,729,0,384,267,278,266,285,206,312,315,294,291,359,374,370,712,192,729,-128.70988287416,384,NA,NA,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,877.808716062839,7.86013016432881,9.86632939639679,0.736678242683411
35,-117.571449780023,46.2743337166785,279.4,-425.6,-1.57392794517483,0.714893617021277,0.304232695367729,16.1043956043956,2,-117.571449780023_46.2743337166785,NA,School,65,111,127,279,398,1505,N,N,657,677,675,698,720,670,744,720,753,736,0,368,302,364,140,290,173,223,274,307,353,463,491,504,705,184,736,-180.521165025047,504,NA,11,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,939.009938354001,7.34185801336989,9.33788956312711,NA
36,-117.571508076927,46.2938137711709,295.5,-326,-0.428990435705235,0.625905068382944,0.416689641086495,8.04945054945056,2,-117.571508076927_46.2938137711709,NA,School,55,111,204,319,439,1222,N,N,652,638,602,653,599,570,626,619,613,643,0,324,222,324,265,326,280,301,318,263,332,372,376,389,621.5,162,643,-42.6219722971526,389,NA,12,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,798.375690555135,8.07216574144291,10.1159785409321,NA
