"","x_y","Long","Lat","Plot","fire","canopy_cover","veg_height","hli","cwd_present","cwd_future","elevation","TE_future","TE_present","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_nbr","postdisturbance_nbr","disturbance_nbr","delta_nbr","dnbr","absolute_regrowth","relative_regrowth","max.postfire.nbr","pct_recovery","time_to_0.8recovery","time_to_0.6recovery","postfire_ppt","postfire_tmin","postfire_tmax","postfire_vpdmin","postfire_vpdmax","postfire_tmean"
"15","-118.498991037_44.478015733",-118.498991037,44.478015733,"EA-1-2","Easy",55,110,199,387,511,1908,"N","N",486,479,516,438,539,564,507,557,503,0,0,0,0,10,0,0,19,0,10,46,79,116,141,143,458.9,16.4,0,-442.5,0,-63.941000697104,-0.492609363453908,143,0.311614730878187,NA,NA,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"16","-118.502206246_44.492083176",-118.502206246,44.492083176,"EA-5-2","Easy",45,110,150,388,513,1861,"N","N",334,312,360,316,305,377,245,325,286,0,0,0,0,0,0,0,0,0,10,87,98,189,243,279,286,19.5,0,-266.5,0,-43.2596276354857,-0.608612103632,279,0.975524475524476,12,11,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"17","-118.502220832_44.501116083",-118.502220832,44.501116083,"EA-5-1","Easy",45,110,95,407,532,1922,"N","N",322,382,309,302,302,380,373,371,341,304,0,0,0,18,0,33,19,57,113,124,206,270,400,457,338.6,57,0,-281.6,304,-100.518509034342,-1.05073727664965,457,1.34967513290018,12,10,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"18","-118.512452886_44.491765645",-118.512452886,44.491765645,"EA-1-1","Easy",45,110,191,410,535,1871,"N","N",443,372,418,370,395,392,396,400,395,330,0,0,0,0,0,21,38,145,241,240,326,444,507,535,391.1,101.1,0,-290,330,-102.942550544227,-1.00727905343306,535,1.36793658910764,10,8,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"19","-118.514233482_44.482945153",-118.514233482,44.482945153,"EA-3-2","Easy",45,110,119,385,506,1950,"N","N",315,347,437,376,383,381,373,390,389,0,0,0,0,0,0,0,54,0,50,3,93,175,216,209,339.1,20,0,-319.1,0,-41.7228031807323,-0.444217478070228,216,0.636980241816573,NA,12,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"20","-118.514554513_44.49955717",-118.514554513,44.49955717,"EA-3-3","Easy",55,110,230,409,533,1778,"N","N",373,346,403,382,437,439,431,434,459,340,0,0,0,136,236,389,464,490,576,575,603,617,625,595,404.4,346.9,0,-57.5,340,213.727432924065,1.89231731957707,625,1.54549950544016,5,5,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"21","-118.514740603_44.485867621",-118.514740603,44.485867621,"EA-B3-2","Easy",45,110,165,385,506,1871,"N","N",169,285,302,239,346,322,305,301,304,234,0,0,0,0,0,0,0,0,1,0,7,79,90,103,280.7,0.8,0,-279.9,234,-99.200444180813,-1.28205651787582,103,0.366939793373709,NA,NA,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"22","-118.517857253_44.474844237",-118.517857253,44.474844237,"EA-2-3","Easy",65,111,191,429,556,1571,"N","N",501,494,558,561,540,533,546,562,521,431,0,110,261,267,389,410,533,574,601,466,562,572,581,542,524.7,417.3,55,-107.4,431,221.265392704724,2.2268402238248,601,1.1454164284353,6,4,786.594682803596,0.400301735313966,11.9530340843499,2.02178053532545,11.6062251948942,6.17666790983195
"23","-118.797845319_43.999130173",-118.797845319,43.999130173,"CA-2-3","Calamity",45,111,204,608,743,1602,"Y","N",459,419,415,437,422,396,457,423,461,472,0,0,0,29,167,248,317,362,438,466,472,468,556,571,436.1,249.9,0,-186.2,472,59.9551710148133,0.510373771219929,571,1.30933272185279,7,6,459.838061750059,0.18735260671565,12.6698562188761,1.78537502813684,12.7290703607246,6.42860441279588
"24","-118.806875456_43.993536097",-118.806875456,43.993536097,"CA-4-1","Calamity",45,110,145,608,743,1586,"Y","N",437,500,496,485,477,421,456,488,468,525,0,0,0,88,183,181,248,309,277,353,418,389,474,499,475.3,205.7,0,-269.6,525,6.99686761157798,0.0578931715325369,499,1.04986324426678,10,7,459.838061750059,0.18735260671565,12.6698562188761,1.78537502813684,12.7290703607246,6.42860441279588
