"","x_y","Long","Lat","Plot","fire","canopy_cover","veg_height","hli","cwd_present","cwd_future","elevation","TE_future","TE_present","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_ndvi","postdisturbance_ndvi","disturbance_ndvi","delta_ndvi","dndvi","absolute_regrowth","relative_regrowth","max.postfire.ndvi","pct_recovery","time_to_0.8recovery","time_to_0.6recovery","postfire_ppt","postfire_tmin","postfire_tmax","postfire_vpdmin","postfire_vpdmax","postfire_tmean"
"13","-118.479230509_44.502956513",-118.479230509,44.502956513,"EA-5-3","Easy",55,110,161,487,615,1544,"N","N",598,618,644,609,672,672,722,721,795,721,218,326,382,533,643,718,771,737,763,737,820,766,809,773,677.2,643,272,-34.2,503,234.852872476127,2.21268464399953,820,1.21086828115771,4,3,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"14","-118.494419441_44.490646943",-118.494419441,44.490646943,"EA-4-3","Easy",55,110,207,388,513,1861,"N","N",579,563,556,565,574,563,589,543,594,550,174,324,406,529,474,627,696,678,684,649,678,658,607,583,567.6,574.5,249,6.89999999999998,376,226.233269049594,3.93007946019423,696,1.2262156448203,3,2,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"15","-118.498991037_44.478015733",-118.498991037,44.478015733,"EA-1-2","Easy",55,110,199,387,511,1908,"N","N",655,685,645,649,660,664,702,730,724,243,240,296,370,394,393,370,402,384,407,408,461,518,498,491,635.7,388.5,268,-247.2,3,54.5073216205485,0.562609412387192,518,0.814849771904987,11,3,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"16","-118.502206246_44.492083176",-118.502206246,44.492083176,"EA-5-2","Easy",45,110,150,388,513,1861,"N","N",527,542,514,503,516,572,505,559,589,212,188,265,312,344,317,344,380,400,434,471,507,585,609,581,503.9,377.4,226.5,-126.5,24,72.5252168046239,1.08124002762574,609,1.2085731295892,8,2,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"17","-118.502220832_44.501116083",-118.502220832,44.501116083,"EA-5-1","Easy",45,110,95,407,532,1922,"N","N",546,588,575,579,604,566,618,630,654,532,207,319,373,386,372,429,394,412,511,460,560,601,685,697,589.2,421.6,263,-167.6,325,8.1207708892145,0.104181008735086,697,1.18295994568907,8,2,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"18","-118.512452886_44.491765645",-118.512452886,44.491765645,"EA-1-1","Easy",45,110,191,410,535,1871,"N","N",590,583,585,590,617,608,642,628,654,537,217,277,292,343,324,400,440,462,576,515,592,690,695,695,603.4,422.1,247,-181.3,320,17.5756736735348,0.189347400346148,695,1.1518064302287,8,5,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"19","-118.514233482_44.482945153",-118.514233482,44.482945153,"EA-3-2","Easy",45,110,119,385,506,1950,"N","N",466,601,610,673,639,631,652,621,657,126,163,292,390,390,392,412,419,422,489,413,497,542,569,537,567.6,411.6,227.5,-156,-37,140.577285506564,1.84266710147316,569,1.00246652572234,8,2,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"20","-118.514554513_44.49955717",-118.514554513,44.49955717,"EA-3-3","Easy",55,110,230,409,533,1778,"N","N",610,573,576,618,626,628,648,634,643,596,209,335,352,455,510,606,656,678,725,725,715,780,741,722,615.2,575.7,272,-39.5,387,185.668501320614,2.27123199733184,780,1.26788036410923,4,3,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"21","-118.514740603_44.485867621",-118.514740603,44.485867621,"EA-B3-2","Easy",45,110,165,385,506,1871,"N","N",425,574,577,545,580,575,552,608,597,479,191,311,403,377,347,409,424,400,415,393,431,514,474,517,551.2,391,251,-160.2,288,24.3575661436972,0.376587765214966,517,0.937953555878084,11,2,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497
"22","-118.517857253_44.474844237",-118.517857253,44.474844237,"EA-2-3","Easy",65,111,191,429,556,1571,"N","N",646,666,722,662,697,726,681,695,737,692,371,482,548,538,609,638,735,727,765,690,729,765,752,690,692.4,646.1,426.5,-46.3,321,116.087547429455,2.07001838491232,765,1.10485268630849,4,1,786.594682803596,0.400301735313966,11.9530340843499,2.02178053532545,11.6062251948942,6.17666790983195
