Long,Lat,postdisturbance_ndvi,delta_ndvi,relative_regrowth,pct_recovery,postfire_fitted_rsq,postfire_fitted_slope,cluster,x_y,Plot,fire,canopy_cover,veg_height,hli,cwd_present,cwd_future,elevation,TE_future,TE_present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,predisturbance_ndvi,disturbance_ndvi,dndvi,absolute_regrowth,max.postfire.ndvi,time_to_0.8recovery,time_to_0.6recovery,postfire_ppt,postfire_tmin,postfire_tmax,postfire_vpdmin,postfire_vpdmax,postfire_tmean,precip,tmean,vpdmax,re-0gen_prob
-117.5078939,46.28385453,587.2,-103.7,-0.416937717886807,0.93935446519033206,0.486000679180768,5.92307692307692,2,-117.5078939_46.28385453,M29,School,55,111,146,322,455,1318,N,N,717,687,696,741,631,569,744,642,748,734,442,544,619,568,572,570,580,637,573,594,615,612,649,641,690.9,493,292,-15.5289600633746,649,2,1,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,688.2908692060896,7.944138646189234,10.102815460926488,NA
-117.5135114,46.28296352,600.7,-136.9,1.27451769043769,1.03036876355748,0.889421491382911,26.6758241758242,2,-117.5135114_46.28296352,M28,School,55,111,107,322,455,1318,N,N,680,709,769,742,715,791,762,696,742,770,258,397,496,555,594,557,643,688,666,682,729,760,733,759,737.6,327.5,512,103.227555675972,760,4,2,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,700.9120972173637,7.840829282311354,10.366388072920651,0.6607937812805176
-117.5137322,46.26809684,505.6,-190,0.261069541167502,0.813686026451984,0.223144864352029,6.46153846153847,1,-117.5137322_46.26809684,H15,School,65,111,149,294,417,1343,N,N,702,735,691,653,693,596,755,722,691,718,310,397,521,475,551,564,433,566,511,488,550,510,566,545,695.6,353.5,408,19.7010965437803,566,5,2,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,721.5587090786485,7.79306948212549,9.9047297857169,NA
-117.5343066,46.29348527,332.4,-348.9,-2.07507845305554,0.617936298253339,0.306472342543326,7.01098901098903,1,-117.5343066_46.29348527,H1,School,55,111,176,317,444,1269,N,N,646,701,689,715,676,626,710,676,696,678,419,394,257,341,331,287,291,373,351,325,374,421,394,395,681.3,406.5,259,-184.307241578678,421,NA,11,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,692.1480833701394,8.064222334121316,10.162545757011753,NA
-117.540451672041,46.2773682085605,462.4,-299,-0.326479925746299,0.845810349356449,0.634362228952341,19.4505494505495,1,-117.540451672041_46.2773682085605,NA,School,55,111,128,278,394,1429,N,N,734,760,798,752,767,667,781,777,791,787,244,298,458,532,463,476,370,469,492,523,543,583,644,623,761.4,271,543,-33.8376410329706,644,12,2,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,815.5728146723134,7.659960622606647,9.651399434880748,0.650364100933075
-117.5405843,46.27721889,465.3,-304,-0.477743746001215,0.880020798128168,0.707435060165084,22.7362637362637,1,-117.5405843_46.27721889,H2,School,55,111,126,278,394,1429,N,N,710,773,771,778,767,724,794,777,825,774,248,315,451,522,449,442,351,498,529,547,549,589,653,677,769.3,281.5,526,-50.9283825483991,677,12,3,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,818.4300307238661,7.493780180714552,9.521747402376914,0.650364100933075
-117.5618789,46.25715141,693.5,-57.1,2.50818651486969,1.01518784972022,0.410355902183728,10.1758241758242,2,-117.5618789_46.25715141,M4,School,55,110,229,272,393,1499,N,N,710,695,802,733,764,739,754,729,799,781,362,528,639,713,711,731,668,762,722,749,712,740,740,719,750.6,445,419,127.656831880901,762,2,1,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696,971.7964485795052,6.606913788794129,8.63216361213367,0.6433929204940796
-117.5654794,46.25563003,630.9,-55.1,1.7652710060922,1.18221574344023,0.879229464051728,29.5549450549451,2,-117.5654794_46.25563003,M24,School,65,111,205,265,380,1519,N,N,656,662,713,686,692,685,679,710,682,695,305,484,451,536,594,607,620,748,758,758,753,762,811,777,686,394.5,390,114.139681958834,811,4,1,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696,971.7964485795052,6.606913788794129,8.63216361213367,0.6433929204940796
-117.5839002,46.29206069,487.3,-215.8,-1.88184321932351,0.793628217892192,0.518336532686074,6.76373626373626,1,-117.5839002_46.29206069,H12,School,55,110,87,307,427,1410,N,N,747,789,676,642,673,611,704,720,723,746,462,507,463,502,461,475,453,486,478,522,526,558,556,545,703.1,484.5,284,-113.270100245523,558,NA,1,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,842.8981160218076,7.4989880147974635,9.695572655759982,0.6411306262016296
-117.5946108,46.28661109,537.4,-287.3,-1.73856775094396,0.759063902024979,0.223234437288302,6.87912087912088,1,-117.5946108_46.28661109,H10,School,75,111,138,287,407,1381,N,N,826,822,815,837,815,808,843,809,838,834,413,570,571,555,452,529,436,586,568,546,561,604,626,618,824.7,491.5,421,-125.949610677772,626,NA,1,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548,938.5119633661577,6.973299958926606,9.12827771101326,0.5929774641990662
